,Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link,day,month,week,year,season
0,2025-02-24,2025-02-24,Run,670,10.87995401856,3741,5.73024785254116,5.059707557862086,10.47074611968,11.85840298368,152.0,9742.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8423587915,Monday,February,9,2025,winter
1,2025-02-21,2025-02-21,Run,675,11.06795758464,3670,5.526363536944245,3.332668466157639,10.85705305344,18.003570393599997,153.0,9587.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8418957349,Friday,February,8,2025,winter
2,2025-02-19,2025-02-19,Run,623,10.51572728448,3439,5.450692953153583,3.5161718066491687,11.00776811904,17.0640353664,146.0,8994.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8416149925,Wednesday,February,8,2025,winter
3,2025-02-19,2025-02-17,Run,540,8.89595473536,2923,5.4765668495983455,1.1205994492165752,10.9557702144,53.54287488,151.0,7642.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8416149736,Wednesday,February,8,2025,winter
4,2025-02-15,2025-02-15,Run,433,6.99591492864,2363,5.628454823828839,3.841130299053528,10.66011762816,15.62040551808,153.0,6162.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8410085788,Saturday,February,7,2025,winter
5,2025-02-03,2025-02-03,Run,383,6.092477487360001,1992,5.4485243676926745,4.086969597550306,11.01216162816,14.68080611712,163.0,5209.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8391576574,Monday,February,6,2025,winter
6,2025-01-16,2025-01-16,Run,346,5.350376782080001,1984,6.179766414141414,4.533915682414698,9.70910797824,13.23360352512,149.0,5136.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8364658399,Thursday,January,3,2025,winter
7,2025-01-14,2025-01-14,Run,332,5.08631561856,1899,6.221106239560964,4.591367662848962,9.64462156416,13.06800202752,150.0,4913.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8361479407,Tuesday,January,3,2025,winter
8,2025-01-11,2025-01-10,Run,63,0.848339940096,310,6.081347431002943,5.177594100453352,9.86622823296,11.5884033408,170.0,802.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8356710019,Saturday,January,2,2025,winter
9,2025-01-10,2025-01-10,Run,532,8.111463909120001,2771,5.692996649566531,4.627059224131075,10.5392719872,12.967192719359998,161.0,7220.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/8355375502,Friday,January,2,2025,winter
